title,not discounted price,discount,price,developer,extraction date
Nickelodeon Kart Racers 2: Grand Prix,20€,-89%,2.20€,Bamtang Games,2022-11-22 23:02:11.741974
Marvel's Avengers Legacy Outfit Pack + Nameplate Key,9€,-89%,1.00€,Crystal DynamicsEidos-MontréalNixxes,2022-11-22 23:02:12.889712
Kill It With Fire,12€,-89%,1.37€,Casey Donnellan Games LLC,2022-11-22 23:02:14.917568
Monster Train,21€,-89%,2.38€,Shiny Shoe,2022-11-22 23:02:16.761861
Worms Reloaded,20€,-89%,2.25€,Team17 Digital Ltd,2022-11-22 23:02:18.032440
XCOM: Chimera Squad - Europe,20€,-89%,2.16€,Firaxis Games,2022-11-22 23:02:19.771239
Wavey The Rocket,9€,-89%,1.00€,UpperRoom Games Ltd,2022-11-22 23:02:21.599161
SoulCalibur VI Deluxe Edition,90€,-89%,9.86€,BANDAI NAMCO StudiosDimps Corporation,2022-11-22 23:02:23.361992
MotoGP 20,30€,-89%,3.33€,Milestone S.r.l.,2022-11-22 23:02:24.636038
Strange Brigade - Season Pass,35€,-89%,3.80€,Rebellion,2022-11-22 23:02:26.192617
Dragon Ball FighterZ Ultimate Edition,110€,-89%,12.22€,Arc System Works,2022-11-22 23:02:27.621749
Yu-Gi-Oh! Legacy of the Duelist: Link Evolution,40€,-89%,4.45€,Other Ocean Emeryville,2022-11-22 23:02:29.457477
Empire of Sin - Europe, 40€,-89%,4.49€,Romero Games,2022-11-22 23:02:30.797270
One Piece Pirate Warriors 4,50€,-89%,5.73€,Koei Tecmo,2022-11-22 23:02:32.298475
DreamWorks Dragons: Dawn of New Riders,30€,-89%,3.33€,Climax Studios Ltd.,2022-11-22 23:02:33.557489
Bleed 2,10€,-89%,1.14€,Ian Campbell,2022-11-22 23:02:34.754178
A Virus Named Tom,10€,-89%,1.11€,Misfits Attic,2022-11-22 23:02:36.282257
Deliver Us The Moon,25€,-89%,2.73€,KeokeN Interactive,2022-11-22 23:02:38.102513
Grimind,9€,-89%,1.00€,Paweł Mogiła,2022-11-22 23:02:39.218785
Train Sim World 2020,40€,-89%,4.47€,Dovetail Games,2022-11-22 23:02:41.980677
Rebel Cops,10€,-89%,1.10€,Weappy Studio,2022-11-22 23:02:43.663743
Code Vein Deluxe Edition,70€,-89%,7.39€,BANDAI NAMCO Studios,2022-11-22 23:02:45.192986
Guilty Gear X2 Reload,9€,-89%,1.00€,Arc System Works,2022-11-22 23:02:46.472164
UNDER NIGHT IN-BIRTH Exe:Late,28€,-89%,3.02€,FRENCH-BREAD,2022-11-22 23:02:47.612313
Torn VR,28€,-89%,3.02€,Aspyr,2022-11-22 23:02:49.308161
Eldest Souls,20€ ,-89%,2.25€,Fallen Flag Studio,2022-11-22 23:02:51.092616
Selfie : Sisters of the Amniotic Lens,9€,-89%,1.00€,Rail Slave Games,2022-11-22 23:02:52.343619
Medieval Kingdom Wars,17€,-89%,1.79€,Reverie World Studios,2022-11-22 23:02:54.050670
Homebrew Patent Unkown,12€,-89%,1.37€,Copybugpaste,2022-11-22 23:02:55.212623
Holy Avatar vs Maiden of The Dead,10€,-89%,1.14€,Silent Dreams,2022-11-22 23:02:56.499545
Sigma Theory: Global Cold War,18€,-89%,1.89€,Mi-Clos StudioGoblinz StudioFibreTigre,2022-11-22 23:02:58.052648
Yuppie Psycho,17€,-89%,1.88€,Baroque Decay,2022-11-22 23:02:59.278112
Tales of the Neon Sea,14€,-89%,1.49€,Palm Pioneer,2022-11-22 23:03:00.355800
Duke Nukem 3D: 20th Anniversary World Tour,20€,-89%,2.10€,"Nerve Software, Gearbox Software, LLC",2022-11-22 23:03:01.627228
Dark Fall: Lost Souls,13€,-89%,1.41€,Darkling Room,2022-11-22 23:03:03.089170
Alien: Rage unlimited,20€,-89%,2.29€,CI Games,2022-11-22 23:03:04.393040
BlazBlue: Chronophantasma Extend,28€,-89%,2.99€,Arc System Works,2022-11-22 23:03:05.456380
Age of Wonders II: The Wizard's Throne,9€,-89%,1.00€,Triumph Studios,2022-11-22 23:03:06.865889
Age of Wonders Shadow Magic,9€,-89%,1.00€,Triumph Studios,2022-11-22 23:03:08.068564
Hard Reset Redux,20€,-89%,2.20€,Flying Wild Hog,2022-11-22 23:03:09.400198
Orwell: Ignorance is Strength,10€,-89%,1.10€,Osmotic Studios,2022-11-22 23:03:13.146512
Amnesia Collection,25€,-89%,2.70€,Frictional Games,2022-11-22 23:03:14.505846
Void Bastards,30€,-89%,3.29€,Blue Manchu,2022-11-22 23:03:16.141757
Override: Mech City Brawl,20€,-89%,2.25€,The Balance Inc,2022-11-22 23:03:17.279354
Sid Meier's Civilization VI: Gathering Storm,40€,-89%,4.25€,Firaxis GamesAspyr (Mac)Aspyr (Linux),2022-11-22 23:03:18.688692
Sid Meier's Civilization VI Digital Deluxe Edition - Europe,60€,-89%,6.50€,Firaxis GamesAspyr (Mac)Aspyr (Linux),2022-11-22 23:03:22.170696
DiRT 3 Complete Edition,20€,-89%,2.18€,Codemasters,2022-11-22 23:03:23.439879
Naruto to Boruto: Shinobi Striker Deluxe Edition - Europe,80€,-89%,8.99€,Soleil Ltd.,2022-11-22 23:03:27.889649
Office Professional Plus 2019 PC (1 User),200€,-89%,21.49€,Microsoft,2022-11-22 23:03:29.593295
Afghanistan '11,28€,-89%,2.99€,Every Single SoldierRetro Epic,2022-11-22 23:03:30.989064
Black Clover: Quartet Knights,50€,-89%,5.49€,"ILINX, Inc.",2022-11-22 23:03:32.560751
Middle-earth: Shadow of War Definitive Edition,50€,-89%,5.50€,Monolith Productions,2022-11-22 23:03:33.768513
A Game of Dwarves,10€,-89%,1.13€,Zeal Game Studio,2022-11-22 23:03:35.117361
Pride of Nations,20€,-89%,2.18€,Ageod,2022-11-22 23:03:36.584205
Batman: Arkham Origins Blackgate Deluxe Edition,20€,-89%,2.23€,Armature Studio,2022-11-22 23:03:37.974710
Hitman GOTY Edition,58€,-89%,6.19€,,2022-11-22 23:03:39.334573
Samorost 3,20€,-89%,2.25€,Amanita Design,2022-11-22 23:03:41.077632
XCOM: Enemy Within - Europe,25€,-89%,2.71€,Firaxis GamesFeral Interactive (Linux),2022-11-22 23:03:42.657547
F.E.A.R. 3,20€,-89%,2.15€,Day 1 Studios,2022-11-22 23:03:44.231883
Deponia,10€,-89%,1.09€,Daedalic Entertainment,2022-11-22 23:03:46.707176
Extinction,30€,-89%,3.33€,Iron Galaxy,2022-11-22 23:03:47.975320
Mortal Kombat XL,40€,-89%,4.46€,NetherRealm StudiosQLOC,2022-11-22 23:03:49.538504
TT Isle Of Man – Ride on the Edge,20€,-89%,2.10€,KT Racing,2022-11-22 23:03:51.395057
Tyranny - Bastard's Wound,15€,-89%,1.60€,Obsidian Entertainment,2022-11-22 23:03:52.727906
Expeditions: Viking,30€,-89%,3.20€,Logic Artists,2022-11-22 23:03:53.893122
Resident Evil: Revelations - Europe,30€,-89%,3.29€,Capcom,2022-11-22 23:03:55.184115
How to Survive 2,15€,-89%,1.69€,Eko Software,2022-11-22 23:03:56.462232
Bulletstorm Full Clip Edition,37€,-89%,3.90€,People Can Fly,2022-11-22 23:03:57.970548
Transport Fever,30€,-89%,3.30€,Urban Games,2022-11-22 23:03:59.420281
Dishonored Definitive Edition - Europe,20€ ,-89%,2.28€, Arkane Studios,2022-11-22 23:04:00.951517
The Walking Dead: Season 3 - A New Frontier,15€,-89%,1.65€,Telltale Games,2022-11-22 23:04:03.016378
Total War: Shogun 2 Collection,50€,-89%,5.62€,CREATIVE ASSEMBLYFeral Interactive (Mac)Feral Interactive (Linux),2022-11-22 23:04:04.620405
Postal Redux,9€,-89%,1.00€,Running With Scissors,2022-11-22 23:04:06.912153
Offworld Trading Company,36€,-89%,3.93€,Mohawk Games,2022-11-22 23:04:09.049496
Tyranny,30€,-89%,3.20€,Obsidian Entertainment,2022-11-22 23:04:48.835408
Warhammer 40.000: Dawn of War Master Collection,39€,-89%,4.29€,Relic Entertainment,2022-11-22 23:04:50.422955
Pillars of Eternity: The White March Part II,15€,-89%,1.58€,Obsidian Entertainment,2022-11-22 23:04:52.357353
Wurm Unlimited - Europe,28€,-89%,3.10€,Code Club AB,2022-11-22 23:05:25.138920
Coin Crypt,10€,-89%,1.08€,Greg Lobanov,2022-11-22 23:05:31.165818
Far Cry Primal,50€,-89%,5.33€,Ubisoft,2022-11-22 23:05:36.206826
The Book of Unwritten Tales 2,30€,-89%,3.32€,KING Art,2022-11-22 23:05:54.825084
Legion TD 2 - Multiplayer Tower Defense,20€,-88%,2.39€,AutoAttack Games,2022-11-22 23:06:22.553177
Legends of Eisenwald,20€,-88%,2.49€,Aterdux Entertainment,2022-11-22 23:06:23.773050
Edna & Harvey: The Breakout,15€,-88%,1.86€,Daedalic Entertainment,2022-11-22 23:06:36.275880
Levelhead,17€,-88%,1.99€,Butterscotch Shenanigans,2022-11-22 23:06:37.704163
Family Man,16€,-88%,1.99€,Broken Bear Games,2022-11-22 23:06:39.247612
Metamorphosis,21€,-88%,2.61€,Ovid Works,2022-11-22 23:06:40.796658
Industry Giant,10€,-88%,1.20€,QLOC,2022-11-22 23:06:42.667063
MotoGP 21,40€,-88%,4.99€,Milestone S.r.l.,2022-11-22 23:06:48.550957
Maneater,34€,-88%,3.94€,Tripwire Interactive,2022-11-22 23:06:50.819732
Train Fever,20€,-88%,2.41€,Urban Games,2022-11-22 23:06:53.982670
Blue Fire,17€,-88%,1.99€,Robi Studios,2022-11-22 23:07:35.402369
Timelie,15€,-88%,1.74€,Urnique Studio,2022-11-22 23:07:38.767441
Lemnis Gate,17€,-88%,1.99€,Ratloop Games Canada,2022-11-22 23:08:16.011410
Life is Feudal: Your Own,20€,-88%,2.45€,Bitbox Ltd.,2022-11-22 23:08:17.476052
Chronos: Before the Ashes,30€,-88%,3.50€,Gunfire GamesTHQ Nordic,2022-11-22 23:08:19.932260
Horace,15€,-88%,1.74€,Paul HelmanSean Scaplehorn,2022-11-22 23:08:22.143121
Space Crew: Legendary Edition,25€,-88%,2.91€,Runner Duck,2022-11-22 23:08:23.413465
Captain Tsubasa: Rise of New Champions - Deluxe Edition,70€,-88%,8.11€,TAMSOFT CORPORATION,2022-11-22 23:08:37.031404
Lego Lord of the Rings,20€,-88%,2.38€,Traveller's Tales,2022-11-22 23:08:39.130282
Lords of the Fallen Game of the Year Edition,30€,-88%,3.55€,CI GamesDeck 13,2022-11-22 23:08:42.224226
Lego Jurassic World,20€,-88%,2.41€,TT Games Ltd,2022-11-22 23:08:44.046250
Lego Marvel’s Avengers,30€,-88%,3.59€,Traveller's TalesTT GamesFeral Interactive (Mac),2022-11-22 23:08:45.522831
The Deadly Tower of Monsters,15€,-88%,1.76€,ACE Team,2022-11-22 23:08:46.689226
Sphinx and the Cursed Mummy,15€,-88%,1.79€,EurocomTHQ Nordic,2022-11-22 23:08:48.056823
Just Cause 4 Gold Edition,60€,-88%,7.34€,Avalanche Studios,2022-11-22 23:08:49.349709
Amnesia: Rebirth,25€,-88%,2.99€,Frictional Games,2022-11-22 23:08:51.501821
A-Tech Cybernetic VR,12€,-88%,1.50€,XREAL Games,2022-11-22 23:08:52.649116
One Punch Man: A Hero Nobody Knows - Deluxe Edition - Europe,65€,-88%,7.99€,"Spike Chunsoft Co., Ltd.",2022-11-22 23:08:54.610817
Naruto Shippuden: Ultimate Ninja Storm Trilogy,60€,-88%,7.13€,CyberConnect2 Co. Ltd.,2022-11-22 23:08:56.093258
Due Process,13€,-88%,1.61€,Giant Enemy Crab,2022-11-22 23:08:59.610696
Metal Gear Solid V: Ground Zeroes,20€,-88%,2.34€,Konami Digital Entertainment,2022-11-22 23:09:00.836264
AO Tennis 2,50€,-88%,6.00€,Big Ant Studios,2022-11-22 23:09:02.125395
Dragon Star Varnir,34€,-88%,4.22€,Idea FactoryCompile Heart,2022-11-22 23:09:03.899001
Disney The Princess and the Frog,17€,-88%,1.97€,Griptonite Games,2022-11-22 23:09:05.334322
Mothergunship,25€,-88%,2.99€,Grip DigitalTerrible Posture Games,2022-11-22 23:09:07.115645
Almost There,8€,-88%,1.00€,Bony Yousuf,2022-11-22 23:09:08.057097
Victory at Sea,22€,-88%,2.54€,Evil Twin Artworks,2022-11-22 23:09:09.199911
Cities: Skylines,28€,-88%,3.45€,Colossal Order Ltd.,2022-11-22 23:09:10.791602
Arma X: Anniversary Edition - Europe,40€,-88%,4.65€,Bohemia Interactive,2022-11-22 23:09:12.622931
The Lost Crown,10€,-88%,1.21€,Darkling Room,2022-11-22 23:09:13.681805
Silent Hill Homecoming,20€,-88%,2.49€,Double Helix Games,2022-11-22 23:09:14.861125
Shelter,15€,-88%,1.80€,Might and Delight,2022-11-22 23:09:16.310287
Raw Data (VR),37€,-88%,4.33€,Survios,2022-11-22 23:09:17.897000
Black Clover: Quartet Knights Deluxe Edition,65€,-88%,7.99€,"ILINX, Inc.",2022-11-22 23:09:19.168236
Forager,20€,-88%,2.38€,HopFrog,2022-11-22 23:09:20.828206
Ni No Kuni II: Revenant Kingdom Prince's Edition,80€,-88%,9.62€,Level-5,2022-11-22 23:09:22.020599
XCOM: Enemy Unknown Complete Pack - Europe,30€,-88%,3.60€,Firaxis GamesFeral Interactive (Linux),2022-11-22 23:09:23.147422
Guts and Glory,12€,-88%,1.50€,HakJak,2022-11-22 23:09:25.174503
Freaking Meatbags,10€,-88%,1.20€,Wild Factor,2022-11-22 23:09:26.397340
ATV Drift and Tricks,15€,-88%,1.82€,Artefacts Studio,2022-11-22 23:09:27.886582
Enemy Front - Europe,20€,-88%,2.44€,CI Games,2022-11-22 23:09:29.327184
Surviving Mars: Season Pass,35€,-88%,4.10€,,2022-11-22 23:09:30.773116
GOD EATER 3,50€,-88%,5.79€,BANDAI NAMCO Studios Inc.,2022-11-22 23:09:32.849132
Lucius III,20€,-88%,2.35€,Shiver Games,2022-11-22 23:09:34.064650
MotoGP 13,10€,-88%,1.20€,Milestone S.r.l.,2022-11-22 23:09:35.556503
Cities: Skylines Deluxe Edition,37€,-88%,4.26€,Colossal Order Ltd.,2022-11-22 23:09:36.755728
Soulcalibur VI,60€,-88%,6.99€,BANDAI NAMCO StudiosDimps Corporation,2022-11-22 23:09:37.809221
Train Sim World Bundle,40€,-88%,4.70€,Dovetail Games,2022-11-22 23:09:39.633757
Shadowrun: Hong Kong - Extended Edition,20€,-88%,2.49€,Harebrained Schemes,2022-11-22 23:09:40.763354
Sentinels of the Multiverse,10€,-88%,1.20€,Handelabra Games Inc.,2022-11-22 23:09:42.212235
Magrunner: Dark Pulse,20€,-88%,2.34€,Frogwares,2022-11-22 23:09:43.608275
Joe Danger 2: The Movie,14€,-88%,1.62€,Hello Games,2022-11-22 23:09:44.785320
Icewind Dale: Enhanced Edition,17€,-88%,1.99€,Beamdog,2022-11-22 23:09:46.624110
Europa Universalis IV: Common Sense Collection,20€,-88%,2.40€,,2022-11-22 23:09:47.776929
Watch Dogs Legion - Europe,60€,-88%,7.49€,Ubisoft,2022-11-22 23:09:48.861191
Middle-earth: Shadow of War Expansion Pass,40€,-88%,4.69€,Monolith Productions,2022-11-22 23:09:50.262676
Disney Pixar Brave: The Video Game,17€,-88%,2.00€,Behaviour Interactive Inc.,2022-11-22 23:09:51.683701
Alien Breed Impact,9€,-88%,1.06€,Team17 Software Ltd.,2022-11-22 23:09:52.883727
Gothic Universe Edition - Europe,20€,-88%,2.46€,Piranha Bytes,2022-11-22 23:09:54.018215
Killing Floor: Incursion,17€,-88%,2.00€,Tripwire Interactive,2022-11-22 23:09:55.491660
Sword Art Online: Hollow Realization Deluxe Edition,50€,-88%,5.79€,AQURIA,2022-11-22 23:09:57.204547
Real Farm,20€,-88%,2.49€,SOEDESCO,2022-11-22 23:09:58.728315
Jurassic World Evolution,45€,-88%,5.26€,Frontier Developments,2022-11-22 23:10:00.699869
Rise of Venice,20€,-88%,2.49€,Kalypso Media Digital,2022-11-22 23:10:01.967603
Darksiders III,40€,-88%,4.99€,Gunfire Games,2022-11-22 23:10:03.561542
Code Vein,50€,-88%,5.99€,BANDAI NAMCO Studios,2022-11-22 23:10:05.052176
Port Royale 3,15€,-88%,1.81€,Gaming Minds Studios,2022-11-22 23:10:06.503171
Ace Combat 7: Skies Unknown,60€,-88%,7.29€,BANDAI NAMCO Studios Inc.,2022-11-22 23:10:08.695021
Marvel vs. Capcom: Infinite - Europe,40€,-88%,4.99€,Capcom,2022-11-22 23:10:10.121809
Bioshock Infinite - Europe,30€,-88%,3.58€,Irrational GamesVirtual Programming (Linux),2022-11-22 23:10:13.581331
Majesty 2 Collection,22€,-88%,2.70€,1C:InoCo,2022-11-22 23:10:15.375763
War of the Roses: Kingmaker - Europe,18€,-88%,2.13€,,2022-11-22 23:10:16.756791
Ziggurat,15€,-88%,1.74€,Milkstone Studios,2022-11-22 23:10:18.004581
Star Wars: Knights of the Old Republic,8€,-88%,1.00€,BioWareAspyr (Mac),2022-11-22 23:10:19.411039
Deadlight Director's Cut,12€,-88%,1.46€,Tequila WorksAbstraction Games,2022-11-22 23:10:21.443890
TRON RUN/r,17€,-88%,2.05€,Sanzaru Games Inc.,2022-11-22 23:10:22.916720
Amnesia: The Dark Descent,20€,-88%,2.35€,Frictional Games,2022-11-22 23:10:24.183304
Among the Sleep Enhanced Edition,17€,-88%,1.99€,Krillbite Studio,2022-11-22 23:10:25.226669
Duke Nukem Forever,20€,-88%,2.49€,Gearbox Software,2022-11-22 23:10:26.458737
Train Station Renovation,18€,-88%,2.20€,Live Motion Games,2022-11-22 23:10:28.025187
Radio Commander,17€,-88%,1.99€,Serious Sim,2022-11-22 23:10:30.059806
Layers of Fear,20€,-88%,2.39€,Bloober Team SA,2022-11-22 23:10:31.131499
The Sims 3: High end Loft Stuff,20€,-88%,2.49€,The Sims Studio,2022-11-22 23:10:32.512939
Dragon's Dogma: Dark Arisen - Europe,30€,-88%,3.66€,Capcom,2022-11-22 23:10:34.029836
Los Sims 3: ¡Quemando rueda! Accesorios,20€,-88%,2.49€,The Sims Studio,2022-11-22 23:10:36.131374
Hello Neighbor: Hide and Seek,25€,-88%,2.99€,Dynamic Pixels,2022-11-22 23:10:37.225037
Worms Revolution Gold Edition,25€,-88%,2.99€,Team17 Digital Ltd,2022-11-22 23:10:38.515193
Crayon Physics Deluxe,18€,-88%,2.09€,Kloonigames,2022-11-22 23:10:39.408912
Tekken 7 - Originals Edition,90€,-88%,10.41€,BANDAI NAMCO Studios Inc.,2022-11-22 23:10:40.707621
Worms: W.M.D,30€,-87%,3.99€,Team17,2022-11-22 23:10:42.007855
Fling to the Finish,15€,-87%,1.89€,SplitSide Games,2022-11-22 23:10:45.604143
Song of Farca,17€,-87%,2.21€,Wooden Monkeys,2022-11-22 23:10:47.378706
The Night of the Rabbit, 20€,-87%,2.50€,Daedalic Entertainment,2022-11-22 23:10:48.765561
World of Zoo,10€,-87%,1.26€,Blue Fang,2022-11-22 23:10:50.164364
Sid Meier's Civilization V,30€,-87%,3.99€,Firaxis GamesAspyr (Mac)Aspyr (Linux),2022-11-22 23:10:52.670975
Deus Ex: Mankind Divided - Digital Deluxe Edition,45€,-87%,5.95€,Eidos Montreal,2022-11-22 23:10:54.277512
Rising Storm 2: Vietnam,23€,-87%,3.10€,Antimatter GamesTripwire Interactive,2022-11-22 23:10:57.793972
Tropico 3,10€,-87%,1.33€,Haemimont Games,2022-11-22 23:10:58.974799
Star Wars Classic Collection,44€,-87%,5.56€,Lucasfim,2022-11-22 23:11:00.172355
Warpips,15€,-87%,2.02€,Skirmish Mode Games,2022-11-22 23:11:02.497779
Endless Space - Definitive Edition,10€,-87%,1.25€,AMPLITUDE Studios,2022-11-22 23:11:04.194581
Breathedge,25€,-87%,3.26€,RedRuins Softworks,2022-11-22 23:11:05.672320
Atomicrops,15€,-87%,1.90€,Bird Bath Games,2022-11-22 23:11:07.338543
Bee Simulator,20€,-87%,2.50€,VARSAV Game Studios,2022-11-22 23:11:08.699853
Abyss Odyssey,15€,-87%,1.99€,ACE Team,2022-11-22 23:11:10.037820
Verdun,20€,-87%,2.50€,M2HBlackmill Games,2022-11-22 23:11:11.157121
Worms Rumble - Legends Pack,8€,-87%,1.00€,Team17 Digital Ltd,2022-11-22 23:11:12.441505
Worms Rumble Digital Deluxe Edition,22€ ,-87%,2.79€,Team17 Digital,2022-11-22 23:11:15.489022
Deus Ex: Mankind Divided,30€,-87%,3.92€,Eidos MontrealFeral Interactive (Linux)Feral Interactive (Mac),2022-11-22 23:11:17.451262
Fated Souls 2,10€,-87%,1.26€,Warfare Studios,2022-11-22 23:11:19.008581
Kingdoms of Amalur: Re-Reckoning Fate Edition,40€,-87%,5.13€,KAIKOBig Huge Games38 Studios,2022-11-22 23:11:21.710141
Naruto Shippuden: Ultimate Ninja Storm 4 Road to Boruto,77€,-87%,9.63€,CyberConnect2 Co. Ltd.,2022-11-22 23:11:22.953535
Pure Farming 2018 - Digital Deluxe Edition,30€,-87%,3.86€,Ice Flames,2022-11-22 23:11:24.497893
Megadimension Neptunia VIIR,25€,-87%,3.29€,Idea FactoryCompile Heart,2022-11-22 23:11:26.420844
Total War: SHOGUN 2 - Rise of the Samurai Campaign,10€,-87%,1.33€,The Creative AssemblyFeral Interactive (Mac)Feral Interactive (Linux),2022-11-22 23:11:28.426630
Unreal Gold,10€,-87%,1.26€,"Epic Games, Inc.",2022-11-22 23:11:29.655334
Port Royale 4,40€,-87%,5.17€,Gaming Minds,2022-11-22 23:11:31.363967
Blackguards 2,10€,-87%,1.29€,Daedalic Entertainment,2022-11-22 23:11:32.867746
Panzer Dragoon Remake, 21€,-87%,2.65€,MegaPixel Studio S. A.,2022-11-22 23:11:34.108330
The Suicide of Rachel Foster,17€,-87%,2.20€,ONE-O-ONE GAMES,2022-11-22 23:11:35.470286
Sairento VR,25€,-87%,3.29€,Mixed Realms Pte LtdSwag Soft Holdings Pte Ltd,2022-11-22 23:11:37.381575
One Piece Pirate Warriors 4 Deluxe Edition,75€,-87%,9.44€,Koei Tecmo,2022-11-22 23:11:38.868407
Just Cause 3,20€,-87%,2.68€,Avalanche Studios,2022-11-22 23:11:40.452226
AI War 2,17€,-87%,2.11€,"Arcen Games, LLC",2022-11-22 23:11:41.894066
A Fisherman's Tale,15€,-87%,1.98€,InnerspaceVR,2022-11-22 23:11:43.266492
Toybox Turbos,15€,-87%,1.99€,Codemasters,2022-11-22 23:11:44.313762
Borderlands: The Pre-Sequel Season Pass,30€,-87%,3.99€,2K AustraliaGearbox SoftwareAspyr (Linux),2022-11-22 23:11:45.716973
Dragonball Xenoverse Bundle Edition,65€,-87%,8.50€,DIMPS,2022-11-22 23:11:47.642108
Total War: Attila,45€,-87%,6.00€,CREATIVE ASSEMBLY,2022-11-22 23:11:48.703498
Delta Force: Black Hawk Down,15€,-87%,2.01€,NovaLogic,2022-11-22 23:11:51.931808
Disney's Chicken Little: Ace in Action,17€,-87%,2.25€,Avalanche Software,2022-11-22 23:11:53.300114
Disney Bolt,17€,-87%,2.13€,Avalanche Software,2022-11-22 23:11:56.011484
Ni no Kuni Wrath of the White Witch Remastered,50€,-87%,6.29€,LEVEL-5QLOC,2022-11-22 23:11:57.161007
Daymare: 1998,30€,-87%,3.99€,Invader Studios,2022-11-22 23:11:59.502386
Monster Sanctuary,20€,-87%,2.65€,Moi Rai Games,2022-11-22 23:12:01.324604
Giana Sister 2D,8€,-87%,1.00€,Kasaa Solution,2022-11-22 23:12:03.014720
Re-Legion,10€,-87%,1.26€,Ice Code Games,2022-11-22 23:12:05.073355
Death Squared,12€,-87%,1.62€,SMG Studio,2022-11-22 23:12:06.277303
GNOG,8€,-87%,1.09€,KO_OP,2022-11-22 23:12:08.627584
Diaries of a Spaceport Janitor,10€,-87%,1.25€,Sundae Month,2022-11-22 23:12:10.180342
Beatbuddy: Tale of the Guardians,9€,-87%,1.21€, Threaks,2022-11-22 23:12:11.784869
Crusader Kings II: The Reaper's Due Collection,14€,-87%,1.81€,Paradox Development Studio,2022-11-22 23:12:13.194530
Worms Pinball,8€,-87%,1.00€,Team17 Digital Ltd,2022-11-22 23:12:14.564811
Worms Blast,8€,-87%,1.00€,Team17 Digital Ltd,2022-11-22 23:12:15.967232
The Vanishing of Ethan Carter,19€,-87%,2.56€,The Astronauts,2022-11-22 23:12:17.956944
Stealth Bastard Deluxe,9€,-87%,1.20€,Curve Studios,2022-11-22 23:12:19.277694
MXGP 2019 - The Official Motocross Videogame,30€,-87%,3.99€,Milestone S.r.l.,2022-11-22 23:12:20.551187
The Surge 2,30€,-87%,3.99€,Deck13,2022-11-22 23:12:21.890781
Lead and Gold: Gang of The Wild West,10€,-87%,1.28€,Fatshark,2022-11-22 23:12:23.708494
Krater,15€,-87%,2.00€,Fatshark,2022-11-22 23:12:25.134538
Super Meat Boy Forever,17€,-87%,2.18€,Team Meat,2022-11-22 23:12:26.259618
Europa Universalis III: Divine Wind,10€,-87%,1.33€,Paradox Development Studio,2022-11-22 23:12:27.496473
Dungeon Rushers,15€,-87%,1.94€,Goblinz Studio,2022-11-22 23:12:28.854928
Disney Pixar Toy Story Mania!,17€,-87%,2.23€,Papaya Studio,2022-11-22 23:12:30.980363
CivCity: Rome,10€,-87%,1.29€,FireFly StudiosFiraxis Games,2022-11-22 23:12:32.230932
Lust for Darkness,15€,-87%,1.90€,Movie Games Lunarium,2022-11-22 23:12:33.545180
Super Dragon Ball Heroes World Mission,50€,-87%,6.49€,"Dimps CorporationSAFARI GAMES Co., Ltd.",2022-11-22 23:12:35.254065
Hitman: Codename 47 - Europe,8€,-87%,1.00€,Io-Interactive A/S,2022-11-22 23:12:37.422077
Lego The Hobbit,20€ ,-87%,2.59€,Traveller's TalesFeral Interactive (Mac),2022-11-22 23:12:38.479578
Mortal Kombat 11,50€,-87%,6.44€,NetherRealm StudiosQLOCShiver,2022-11-22 23:12:39.767422
Beholder 2,15€,-87%,1.99€,Warm Lamp Games,2022-11-22 23:12:41.174478
Stacking,10€,-87%,1.30€,Double Fine Productions,2022-11-22 23:12:42.500320
My Memory of Us,15€,-87%,1.99€,Juggler Games,2022-11-22 23:12:44.040191
Planet Alpha,20€,-87%,2.60€,Planet Alpha ApS,2022-11-22 23:12:45.821488
SimCity 4 Deluxe Edition,20€,-87%,2.54€,EA - MaxisAspyr (Mac),2022-11-22 23:12:46.802661
Scribblenauts Unlimited,20€,-87%,2.50€,5th Cell Media,2022-11-22 23:12:48.100761
Monaco: What's Yours Is Mine,15€,-87%,1.99€,Pocketwatch Games,2022-11-22 23:12:49.367759
Men of War: Assault Squad 2 (Deluxe Edition),30€,-87%,3.99€,Digitalmindsoft,2022-11-22 23:12:50.599652
LEGO Indiana Jones 2: The Adventure Continues,17€,-87%,2.24€,Traveller's Tales,2022-11-22 23:12:52.794831
Shining Resonance Refrain - Europe,30€,-87%,3.99€,SEGA,2022-11-22 23:12:54.328267
Moonlighter,20€,-87%,2.63€,Digital Sun,2022-11-22 23:12:56.064466
Antigraviator,20€,-87%,2.59€,Cybernetic Walrus,2022-11-22 23:12:58.141987
Tennis World Tour,30€,-87%,3.90€,Breakpoint,2022-11-22 23:12:59.579728
Dungeon of the Endless - Pixel Edition,12€,-87%,1.50€,AMPLITUDE Studios,2022-11-22 23:13:01.210462
One Piece: Pirate Warriors 3 Gold Edition,52€,-87%,6.69€," KOEI TECMO GAMES CO., LTD.",2022-11-22 23:13:02.712204
Deep Sky Derelicts,20€,-87%,2.59€,Snowhound Games,2022-11-22 23:13:04.528986
Megabyte Punch,14€,-87%,1.80€,Team Reptile,2022-11-22 23:13:05.864297
Dungeon Siege 3,15€,-87%,1.98€,Obsidian Entertainment,2022-11-22 23:13:07.200806
Nuclear Dawn,10€,-87%,1.31€,GameConnectInterWave Studios,2022-11-22 23:13:08.497733
