title,not discounted price,discount,price,developer,extraction date
Road Redemption,17€,-91%,1.59€,"EQ-Games , Pixel Dash Studios",2022-11-22 22:54:20.936222
Hover: Revolt Of Gamers,20€,-91%,1.89€,Midgar StudioFusty Game,2022-11-22 22:54:22.508591
The Walking Dead: Season Two,15€,-91%,1.35€,Telltale Games,2022-11-22 22:54:23.780714
Sid Meier’s Civilization VI - Europe,60€,-91%,5.49€,Firaxis GamesAspyr (Mac)Aspyr (Linux),2022-11-22 22:54:25.099067
Watch Dogs 2 - Europe,60€,-91%,5.31€,Ubisoft,2022-11-22 22:54:26.262109
Asteroid Bounty Hunter,11€,-91%,1.00€,EGAMER,2022-11-22 22:54:27.534700
ATOM RPG Trudograd,11€,-91%,1.00€,AtomTeam,2022-11-22 22:54:28.677702
Upside Down,11€,-91%,1.00€,EGAMER,2022-11-22 22:54:29.776170
ShipLord,11€,-91%,1.01€,EGAMER,2022-11-22 22:54:31.085941
112 Operator,21€,-91%,1.90€,Jutsu Games,2022-11-22 22:54:32.427496
If Found...,11€,-91%,1.00€,DREAMFEEL,2022-11-22 22:54:34.325245
Blood Bowl: Chaos Edition,15€,-91%,1.32€,Cyanide Studios,2022-11-22 22:54:35.790560
Vagrant Hearts 2,10€,-90%,1.00€,Warfare Studios,2022-11-22 22:54:37.012183
Greak: Memories of Azur,20€,-90%,1.99€,Navegante Entertainment,2022-11-22 22:54:38.070326
Into the Stars - Europe,20€,-90%,1.99€,Fugitive Games,2022-11-22 22:54:39.287801
The Typing of the Dead: Overkill Collection,23€,-90%,2.30€,Modern Dream,2022-11-22 22:54:40.358331
Massive Chalice,20€,-90%,1.92€,Double Fine Productions,2022-11-22 22:54:41.544392
Mordheim: City of the Damned - Undead,10€,-90%,1.00€,Rogue Factor,2022-11-22 22:54:42.733021
Through the Woods,20€,-90%,1.99€,Antagonist,2022-11-22 22:54:44.982806
Bang Bang Racing,10€,-90%,1.00€,Digital Reality Software & Playbox,2022-11-22 22:54:46.041717
Double Cross,17€,-90%,1.69€,13AM Games,2022-11-22 22:54:47.501383
HELLDIVERS Digital Deluxe Edition,30€,-90%,2.86€,Arrowhead Game Studios,2022-11-22 22:54:48.904221
Endless Space 2,40€,-90%,4.09€,AMPLITUDE Studios,2022-11-22 22:54:51.007376
Crusader Kings Complete,10€,-90%,1.00€,Paradox Development Studio,2022-11-22 22:54:52.007571
Paradise Lost,12€,-90%,1.28€,PolyAmorous,2022-11-22 22:54:54.020694
Europa Universalis III: Chronicles,15€,-90%,1.49€,Paradox Development Studio,2022-11-22 22:54:55.175999
shapez.io,10€,-90%,1.00€,Tobias Springer,2022-11-22 22:54:56.543475
Middle-Earth: Shadow of War -The Desolation of Mordor,20€,-90%,2.00€,"Monolith Productions, Inc.",2022-11-22 22:54:57.934058
